Overall Status,Storage and/or Capture,Continent Name,Country Code,DOE Support,Exact Checkbox,Paper,Regional Partnership,Latitude,Longitude,Project Type,Size_Capture_Amount
Hold,Capture and Storage,Europe,Rom,0,1,0,0,44.669722,23.407778,CCS,4110.0
Active,Capture,North America,USA,1,1,0,0,47.065715,-101.21429,Capture,455.0
Active,Storage,North America,USA,1,1,0,1,47.0946,-101.309539,Storage,450.0
Active,Capture,North America,USA,1,1,0,0,30.533711,-88.555873,Capture,1000.0
Active,Capture,North America,USA,1,1,0,0,36.803648,-108.440482,Capture,423.5
Active,Storage,North America,USA,1,0,0,0,36.934091,-108.05291,Storage,450.0
Active,Capture,North America,USA,1,1,0,0,38.27819099,-89.6671705,Capture,450.0
Active,Capture,North America,USA,1,1,0,0,4.389034,-105.461138,Capture,385.0
Active,Storage,North America,USA,1,0,0,0,44.390811,-105.438446,Storage,450.0
Active,Capture,North America,USA,0,1,0,0,41.080848,-101.141182,Capture,700.0
Completed,Unknown,North America,USA,1,0,0,0,40.108909,-100.942403,Hub,450.0
Active,Unknown,North America,USA,1,1,0,0,33.576686,-96.61453,Capture,741.0
Active,Unknown,North America,USA,1,1,0,0,32.972526,-102.741463,Capture,430.0
Active,Unknown,North America,USA,0,1,0,0,35.280528,-119.470135,Capture,550.0
Active,Unknown,North America,USA,1,1,0,0,39.531734,-87.427483,Storage,450.0
Active,Unknown,North America,USA,1,0,0,0,44.392581,-105.447468,Storage,385.0
Active,Capture,North America,CA,0,1,0,0,53.579909,-113.60094,Capture,450.0
Active,Capture,Europe,Sz,0,0,0,0,64.036714,-21.400102,Direct Air Capture,450.0
Potential,Storage,Africa,DZ,0,0,0,0,30.565029,6.433333,Storage,450.0
Hold,Capture and Storage,Africa,DZ,1,0,0,0,27.185919,2.497676,CCS,450.0
Completed,Capture and Storage,Australia,AU,0,1,0,0,-24.34121895,150.6085205,CCS,30.0
Completed,Capture,Australia,AU,0,1,0,0,-33.211619,151.542258,Capture,450.0
Completed,Capture,Australia,AU,0,1,0,0,-26.783583,151.91512,Capture,450.0
Active,Capture,Australia,AU,0,1,0,0,-38.23505402,146.5717468,Capture,10.0
Terminated,Capture and Storage,Australia,AU,0,0,0,0,-25.843656,148.565414,CCS,100.0
Hold,Capture and Storage,Australia,AU,0,0,0,0,-36.66844559,139.9955444,CCS,300.0
Active,Capture and Storage,Australia,AU,0,1,0,0,-20.77690887,115.460907,CCS,41100.0
Terminated,Capture and Storage,Australia,AU,1,1,0,0,-38.27297592,146.3917847,CCS,1635.0
Active,Capture,Australia,AU,0,0,0,0,-38.255862,146.592067,Capture,600.0
Terminated,Capture and Storage,Australia,AU,0,0,0,0,-32.215362,115.776058,CCS,500.0
Terminated,Capture and Storage,Australia,AU,0,1,0,0,-38.235301,146.57174,CCS,60000.0
Hold,Storage,Australia,AU,0,1,0,0,-28.113216,140.206906,Storage,450.0
Active,Capture and Storage,Australia,AU,1,1,0,0,-38.530524,142.811616,CCS,450.0
Active,Storage,Australia,AU,0,1,0,0,-8.945793,126.429718,Storage,450.0
Terminated,Capture and Storage,Australia,AU,0,1,0,0,-23.510207,150.319062,CCS,80.0
Active,Storage,Europe,Rom,0,0,0,0,45.871514,22.053591,Storage,450.0
Active,Capture and Storage,North America,CA,0,0,0,0,53.788356,-112.961851,Tk,450.0
Hold,Capture and Storage,North America,CA,0,0,0,0,50.395646,-105.153207,Capture,500.0
Active,Capture and Storage,North America,CA,0,1,0,0,49.096174,-103.030653,CCS,115.0
Completed,Storage,North America,CA,0,0,0,0,52.050455,-112.734195,Storage,450.0
Potential,Capture and Storage,North America,CA,0,0,0,0,51.113532,-114.112924,Transport,450.0
Active,Storage,North America,CA,0,1,0,0,54.570961,-115.520025,Storage,450.0
